ell,Dl_TT_muK2,Dl_EE_muK2,Dl_TE_muK2,Cl_TT,Cl_EE,Cl_TE,Cl_BB
1496,142.03329337343598,1.5357557997296554,-4.342136692288887,1.4620776738509065e-16,1.5808929117542531e-18,-4.469755621249117e-18,0.0
1497,141.71376832751372,1.5324048104913646,-4.332515319385819,1.456840864167778e-16,1.575337368216512e-18,-4.453897060536171e-18,0.0
1498,141.39626548786617,1.5290750930803956,-4.32295492380442,1.4516374872753811e-16,1.5698170799037641e-18,-4.438139438509216e-18,0.0
1499,141.08078433915844,1.5257666474642764,-4.313455497673443,1.4464674181330895e-16,1.5643319205864832e-18,-4.422482385661015e-18,0.0
1500,140.76732429211572,1.5224794727956754,-4.304017030838809,1.4413305314314487e-16,1.558881763685672e-18,-4.406925531578326e-18,0.0
1501,140.45588468411836,1.519213567418615,-4.294639510881488,1.4362267016011603e-16,1.5534664822826642e-18,-4.391468504969502e-18,0.0
1502,140.14646477979568,1.5159689288746736,-4.2853229231353565,1.431155802821983e-16,1.5480859491288396e-18,-4.376110933691844e-18,0.0
1503,139.83906377161833,1.5127455539091779,-4.276067250704994,1.4261177090315553e-16,1.5427400366552538e-18,-4.360852444778703e-18,0.0
1504,139.53368078048896,1.5095434384773803,-4.266872474483465,1.4211122939341315e-16,1.5374286169821839e-18,-4.34569266446635e-18,0.0
1505,139.23031485633243,1.5063625777506287,-4.257738573170058,1.4161394310092453e-16,1.5321515619285928e-18,-4.330631218220596e-18,0.0
1506,138.92896497868261,1.5032029661225097,-4.248665523287943,1.4111989935202756e-16,1.5269087430214973e-18,-4.315667730763148e-18,0.0
1507,138.62963005726908,1.5000645972149944,-4.239653299201839,1.406290854522946e-16,1.5217000315052631e-18,-4.300801826097748e-18,0.0
1508,138.33230893260102,1.4969474638845486,-4.230701873135572,1.4014148868737275e-16,1.5165252983508e-18,-4.286033127536025e-18,0.0
1509,138.03700037654943,1.4938515582282388,-4.22181121518962,1.3965709632381657e-16,1.5113844142646803e-18,-4.271361257723126e-18,0.0
1510,137.74370309292746,1.490776871589813,-4.212981293358576,1.39175895609912e-16,1.5062772496981623e-18,-4.256785838663078e-18,0.0
1511,137.45241571806866,1.4877233945657684,-4.204212073548572,1.3869787377649234e-16,1.5012036748561334e-18,-4.2423064917439074e-18,0.0
1512,137.16313682140273,1.4846911170113868,-4.195503519594618,1.3822301803774514e-16,1.4961635597059552e-18,-4.227922837762493e-18,0.0
