k_Mpc_inv,Pk_z0,Pk_z05,Pk_z1
0.1193776641714437,5.1023631917330626e-05,3.112441546957168e-05,1.887874380941233e-05
0.12406391590588318,5.185807418359488e-05,3.1633425251992874e-05,1.9187487447930104e-05
0.12893412965257156,5.257883470449058e-05,3.2073089169739256e-05,1.9454168840661515e-05
0.13399552696593384,5.317657707407132e-05,3.243771201518351e-05,1.9675333517406388e-05
0.13925561288744634,5.364290361442617e-05,3.272217120479996e-05,1.9847874337337684e-05
0.14472218707411344,5.397055728692507e-05,3.292203994502429e-05,1.9969106196162275e-05
0.15040335536380253,5.4153608079510154e-05,3.3033700928501195e-05,2.0036834989418756e-05
0.1563075417945816,5.418761656913494e-05,3.305444610717231e-05,2.0049418130579928e-05
0.1624435010958867,5.406976781786365e-05,3.2982558368896825e-05,2.000581409260955e-05
0.16882033167003627,5.379896962492282e-05,3.281737147120292e-05,1.9905618761221443e-05
0.17544748908334595,5.337591039835068e-05,3.2559305342993915e-05,1.9749086847389754e-05
0.18233480008684405,5.2803073470015075e-05,3.2209874816709195e-05,1.953713718390558e-05
0.18949247718738216,5.2084706469062786e-05,3.17716709461283e-05,1.927134139355323e-05
0.19693113379074217,5.122674628143405e-05,3.124831523167477e-05,1.89538961241306e-05
0.20466179993919897,5.023670203406485e-05,3.064438824077956e-05,1.8587579752603994e-05
0.21269593866686898,4.91235003270251e-05,2.996533519948531e-05,1.8175695120999286e-05
0.22104546299710215,4.789729847984551e-05,2.921735207270576e-05,1.772200043754284e-05
0.22972275360711536,4.656927276443342e-05,2.8407256386304386e-05,1.7230630922840366e-05
0.2387406771860647,4.515138939926751e-05,2.7542347533553183e-05,1.670601407772898e-05
0.24811260551377703,4.365616644425417e-05,2.6630261530995042e-05,1.615278158437404e-05
0.2578524352884274,4.209643466360727e-05,2.5678825144800435e-05,1.557568082553469e-05
0.26797460873256923,4.048510494861121e-05,2.4695914018652838e-05,1.4979488830986149e-05
0.2784941350080644,3.883494907336433e-05,2.368931893475224e-05,1.4368931157144804e-05
0.28942661247167517,3.715839947419814e-05,2.2666623679260864e-05,1.3748607805453311e-05
0.3007882518043099,3.546737248776866e-05,2.163509721753888e-05,1.3122927820474405e-05
0.3125959000482281,3.3773118146129846e-05,2.0601602069139205e-05,1.2496053714068043e-05
0.32486706558783746,3.2086098295956184e-05,1.9572519960533273e-05,1.1871856369503788e-05
0.337619944111134,3.0415893558056374e-05,1.855369507041439e-05,1.1253880616480858e-05
0.3508734455902711,2.8771138530969054e-05,1.7550394503891122e-05,1.064532125645855e-05
0.3646472223212749,2.7159483709271536e-05,1.6567285062655636e-05,1.0049008972430468e-05
0.3789616980644716,2.5587581855748947e-05,1.5608424932006856e-05,9.46740528662711e-06
0.3938380983288489,2.406109604270608e-05,1.4677268586050709e-05,8.90260553580125e-06
0.4092984818452438,2.258472625355163e-05,1.3776683014666494e-05,8.356348713814104e-06
0.4253657732750387,2.1162251292801446e-05,1.2908973288608881e-05,7.830032978336534e-06
0.442063797202853,1.9796582765149666e-05,1.2075915486741296e-05,7.3247356231053765e-06
0.4594173134636476,1.8489828022618914e-05,1.1278795093797538e-05,6.8412363683689985e-06
0.47745205385661316,1.7243359212342235e-05,1.0518449119528763e-05,6.380042908566627e-06
