ell,Cl_BB,Dl_BB,Cl_TT_tensor
296,5.288129584508154e-27,7.39895491387253e-23,3.116361595979843e-27
297,5.2460700080245615e-27,7.389702028995894e-23,3.0902874679358864e-27
298,5.2044625864654225e-27,7.380460748935027e-23,3.064500761649553e-27
299,5.1633010797007405e-27,7.371231058869655e-23,3.0389974584742046e-27
300,5.122579353379277e-27,7.362012944001295e-23,3.013773608400674e-27
301,5.0822913767988084e-27,7.35280638955315e-23,2.988825328668605e-27
302,5.0424312208260915e-27,7.343611380770059e-23,2.9641488024102945e-27
303,5.002993055865149e-27,7.33442790291843e-23,2.939740277326161e-27
304,4.963971149872644e-27,7.325255941286158e-23,2.9155960643910115e-27
305,4.925359866419082e-27,7.31609548118257e-23,2.891712536590283e-27
306,4.8871536627946384e-27,7.306946507938344e-23,2.8680861276854782e-27
307,4.849347088158475e-27,7.297809006905467e-23,2.84471333100803e-27
308,4.811934781730348e-27,7.28868296345714e-23,2.8215906982808433e-27
309,4.774911471023482e-27,7.279568362987743e-23,2.798714838466801e-27
310,4.7382719701175756e-27,7.270465190912739e-23,2.7760824166435363e-27
311,4.702011177970962e-27,7.261373432668646e-23,2.753690152903774e-27
312,4.666124076770856e-27,7.252293073712948e-23,2.731534821280608e-27
313,4.630605730320767e-27,7.243224099524044e-23,2.709613248697045e-27
314,4.595451282464078e-27,7.234166495601184e-23,2.6879223139392136e-27
315,4.560655955542908e-27,7.225120247464409e-23,2.666458946652622e-27
316,4.526215048891335e-27,7.21608534065449e-23,2.6452201263608853e-27
317,4.492123937362126e-27,7.207061760732877e-23,2.6242028815063378e-27
318,4.458378069886101e-27,7.198049493281626e-23,2.6034042885119906e-27
319,4.424972968063347e-27,7.189048523903354e-23,2.5828214708642907e-27
320,4.391904224785451e-27,7.180058838221165e-23,2.5624515982161514e-27
321,4.359167502888e-27,7.171080421878621e-23,2.5422918855097564e-27
322,4.326758533832552e-27,7.162113260539654e-23,2.5223395921186323e-27
323,4.294673116417405e-27,7.153157339888531e-23,2.502592021008515e-27
324,4.262907115516399e-27,7.144212645629788e-23,2.483046517916547e-27
325,4.231456460845077e-27,7.135279163488181e-23,2.4637004705483306e-27
326,4.2003171457535376e-27,7.126356879208634e-23,2.4445513077924316e-27
327,4.169485226045307e-27,7.117445778556177e-23,2.4255964989518598e-27
328,4.1389568188216035e-27,7.108545847315894e-23,2.4068335529921514e-27
329,4.108728101350379e-27,7.099657071292879e-23,2.388260017805612e-27
330,4.078795309959517e-27,7.090779436312175e-23,2.369873479491349e-27
331,4.0491547389536155e-27,7.081912928218729e-23,2.3516715616507005e-27
332,4.0198027395537744e-27,7.073057532877326e-23,2.3336519246976776e-27
333,3.990735718859849e-27,7.064213236172564e-23,2.315812265184079e-27
334,3.961950138834596e-27,7.055380024008775e-23,2.2981503151389e-27
335,3.933442515309231e-27,7.046557882310002e-23,2.280663841421709e-27
336,3.9052094170098345e-27,7.03774679701992e-23,2.2633506450896457e-27
337,3.8772474646041616e-27,7.028946754101814e-23,2.246208560777722e-27
338,3.849553329768329e-27,7.020157739538518e-23,2.2292354560921063e-27
339,3.822123734272925e-27,7.011379739332362e-23,2.2124292310160794e-27
340,3.794955449088086e-27,7.002612739505136e-23,2.1957878173283648e-27
341,3.7680452935070826e-27,6.993856726098035e-23,2.1793091780335413e-27
342,3.741390134287992e-27,6.985111685171614e-23,2.1629913068042498e-27
343,3.714986884813017e-27,6.976377602805737e-23,2.1468322274349215e-27
344,3.688832504265055e-27,6.967654465099541e-23,2.1308299933067478e-27
345,3.662923996821106e-27,6.958942258171379e-23,2.1149826868636477e-27
346,3.637258410862128e-27,6.950240968158782e-23,2.0992884190989534e-27
347,3.6118328381989635e-27,6.941550581218406e-23,2.0837453290525836e-27
348,3.586644413313966e-27,6.932871083526e-23,2.0683515833184507e-27
349,3.561690312617951e-27,6.924202461276347e-23,2.0531053755618704e-27
